Date	Rapporteurs	Sujets	Liens	Tags
05/02/2026	Nicolas Lefebvre	la dernière version de VScode vient de sortir et apporte pas mal de nouveauté IA ;)  🗂️ Single workspace for local, cloud, and background agents 💻 Claude and Codex support for local and cloud agents 🔀 Parallel subagent execution 🌐 MCP Apps support 📨 Enhanced context handling via Anthropic Messages API	https://aka.ms/VSCode/109
06/02/2026	Ludovic Dussart	Command MultipleAI Coding Agents	https://vibecraft.build/
09/02/2026	Paul Verbeke	un serveur MCP à ajouter dans son client IA pour lui permettre d'utiliser puppeteer et les Chrome DevTools pour automatiser des actions dans un navigateur. Il a un accès bas niveau aux performance et à la console donc ça lui permet de tester son code généré, voir les erreurs console (ou les network requests) et itérer pour les résoudre (ou prendre un screenshot). Utilise peu d'espace dans la fenêtre de contexte lors des échanges avec l'agent.	https://github.com/ChromeDevTools/chrome-devtools-mcp
09/02/2026	Paul Verbeke	un serveur MCP à ajouter dans son client IA pour lui permettre d'utiliser Playwright pour automatiser des actions dans un navigateur, donc en soit faire plus ou moins la même chose que  chrome-devtools-mcp. Tout comme le précédent il démarre une nouvelle instance neuve de Chrome donc sans votre profil d'utilisateur réel, mais contrairement à ce dernier Playwright n'a pas un accès aussi bas niveau donc pas d'accès au réseau/console etc	https://github.com/microsoft/playwright-mcp
09/02/2026	Paul Verbeke	 un serveur MCP à ajouter dans son client IA, combiné avec une extension de navigateur Chrome,  pour lui permettre d'utiliser Playwright pour automatiser des actions dans son propre navigateur déjà ouvert, donc avec votre profil habituel. Ce qui permet de faire des actions avec votre fingerprint, donc vos compte déjà connectés, on évite les détections de bot et les captcha, etc. Plus pertinent pour automatiser des actions sur internets, contrairement aux 2 précédents qui sont plus orientés pour le developpement et tests d'une app web	https://github.com/browsermcp/mcp
10/02/2026	Emmanuel Péru	mesure oss	https://fondation-sahar.fr/trackcarbon
12/02/2026	Emmanuel Péru	Oss tool	https://www.cachem.fr/trilium-notes-alternative-open-source-pour-les-notes-hierarchique/
12/02/2026	Emmanuel Péru	ia codeassist google gemini	https://developers.googleblog.com/conductor-introducing-context-driven-development-for-gemini-cli/
12/02/2026	Emmanuel Péru	llm empreinte	https://github.com/sipeed/picoclaw
16/02/2026	Emmanuel Péru	ia codeassist manifesto	https://o16g.com
16/02/2026	Ludovic Dussart	réduire le bruit en CLI pour réduire le nombre de tokens LLM consommés (80% de gains)	https://github.com/rtk-ai/rtk
